sector,year,driver_note,source_report
Infrastructure,2026,"Shift from standalone projects to large, scalable platforms; FY26 capex allocation ~INR11.21 lakh crore (~3.1% of GDP)",EY India M&A Report 2026
Infrastructure,2026,"Roads remain the core driver: INR2.7 lakh crore to MoRTH in FY26, 27 expressways (~9,860 km) underway",EY India M&A Report 2026
Infrastructure,2026,"InvITs now manage assets exceeding INR7 lakh crore, expanding into renewables, digital infra, ports, airports",EY India M&A Report 2026
Infrastructure,2026,"2026 outlook: more consolidation among smaller firms, rising green-infrastructure M&A",EY India M&A Report 2026
Industrials and Auto,2026,"PE capital concentrating in engineered products, auto components, precision manufacturing, electronics",EY India M&A Report 2026
Industrials and Auto,2026,Buy-and-build / bolt-on acquisitions common ahead of PE exits to lift valuation multiples,EY India M&A Report 2026
Industrials and Auto,2026,Data centers and renewables drawing strong capital; EMS (electronics manufacturing services) emerging as a new growth engine,EY India M&A Report 2026
Industrials and Auto,2026,"2026 outlook: deeper global integration via cross-border M&A, continued buy-and-build platform scaling",EY India M&A Report 2026
Consumer Products and Retail,2026,"Quick commerce reshaping distribution (hyperlocal inventory, rapid delivery) — driving consolidation",EY India M&A Report 2026
Consumer Products and Retail,2026,"Incumbents acquiring/partnering with scaled D2C brands, especially in beauty, personal care, food",EY India M&A Report 2026
Consumer Products and Retail,2026,"Unit economics (balancing growth, profitability, cost efficiency) increasingly determines deal attractiveness",EY India M&A Report 2026
Consumer Products and Retail,2026,"2026 outlook: continued scaling of quick commerce as core infrastructure, private-label expansion",EY India M&A Report 2026
Lifesciences,2026,~60% of India's population is in Tier-2 cities — driving hospital and diagnostics capacity expansion,EY India M&A Report 2026
Lifesciences,2026,Shift from unorganized to organized healthcare as patients move to trusted multi-specialty chains,EY India M&A Report 2026
Lifesciences,2026,Rising insurance penetration improving affordability and utilization,EY India M&A Report 2026
Lifesciences,2026,"2026 outlook: diagnostics margin improvement, continued hospital/device consolidation, strong PE interest",EY India M&A Report 2026
Technology,2026,"IT services demand recovering, buyers targeting digital/cloud/AI-led capability",EY India M&A Report 2026
Technology,2026,AI and GenAI are the primary M&A catalyst — acquirers buying AI-led capability and semiconductor IP,EY India M&A Report 2026
Technology,2026,"India SaaS scaled meaningfully in 2025 (65+ companies above US$30m ARR), valuations ~7-11x revenue",EY India M&A Report 2026
Technology,2026,"2026 outlook: ""AI-gravity phase"" — consolidation intensifying to simplify vendor ecosystems, cybersecurity a major theme",EY India M&A Report 2026
Financial Services,2026,Banking was the standout 2025 sector — large cross-border stakes from Middle East and Japan into mid-market banks,EY India M&A Report 2026
Financial Services,2026,Wealth and asset management (WAM) momentum continuing via new entrants and fund raises,EY India M&A Report 2026
Financial Services,2026,Domestic consolidation gaining traction alongside strategic cross-border deals,EY India M&A Report 2026
Financial Services,2026,"2026 outlook: over US$11bn of announced deals awaiting regulatory approval, continued WAM/insurance momentum",EY India M&A Report 2026
Telecom,2010,"Survey-expected CAGR ~20% for sector (Bain-IVCA PE/VC research survey Outlook 2014); high-profile PE build-up of Bharti Airtel (Warburg Pincus 1999, CVC 2004, Temasek 2007) cited as example of PE powering a national champion",Bain-IVCA India Private Equity Report 2010
Media & entertainment,2010,Survey-expected CAGR 17% for next two years,Bain-IVCA India Private Equity Report 2010
Energy,2010,"Survey-expected CAGR 70% for next two years, highest of all sectors surveyed; also 13% share of PE deals in last two years (2008-09)",Bain-IVCA India Private Equity Report 2010
Infrastructure (including real estate),2010,"Survey-expected CAGR 36% for next two years. Of the few large PE transactions closed in 2009, most fell in the infrastructure-building sector, as many infrastructure companies were mid-way through multiyear projects and needed funding",Bain-IVCA India Private Equity Report 2010
Banking financial services insurance (BFSI),2010,Survey-expected CAGR 14% for next two years; 8% share of PE deals in last two years (2008-09),Bain-IVCA India Private Equity Report 2010
IT/ITES,2010,Survey-expected CAGR 13% for next two years; 13% share of PE deals in last two years (2008-09),Bain-IVCA India Private Equity Report 2010
Manufacturing,2010,Survey-expected CAGR 31% for next two years,Bain-IVCA India Private Equity Report 2010
Healthcare,2010,"Survey-expected CAGR 38% for next two years, second-highest after Energy",Bain-IVCA India Private Equity Report 2010
Real estate,2010,"15% share of PE deals in last two years (2008-09), the largest single-sector share disclosed",Bain-IVCA India Private Equity Report 2010
Consumer technology,2015,"Most attractive sector for PE/VC in 2014: deal value +137% and deal volume +71% vs 2010 (CAGR 2010-14); deal value +287% in 2013-14 alone; $4.7 billion invested into the sector in 2014; average deal size ~$17 million, a threefold increase over 2013; growth driven by rising internet penetration (projected to reach 45% / ~610 million users by 2020) and rising household incomes creating headroom for e-commerce growth versus developed markets; GPs surveyed identified consumer technology as a primary growth sector for the next two years",Bain-IVCA India Private Equity Report 2015
Consumer & retail,2015,CAGR 68% (2010-14) in PE/VC deal value; one of three sectors (with real estate and BFSI) cited as key drivers of the 28% overall deal-value increase in 2014,Bain-IVCA India Private Equity Report 2015
Banking financial services insurance (BFSI),2015,CAGR 12% (2010-14); cited as a key driver of the 2014 deal-value increase; GPs identified financial services as a primary growth sector for the next two years,Bain-IVCA India Private Equity Report 2015
Real estate,2015,CAGR 11% (2010-14); cited as a key driver of the 2014 deal-value increase alongside consumer technology and BFSI,Bain-IVCA India Private Equity Report 2015
Healthcare,2015,CAGR 16% (2010-14); GPs identified healthcare as a primary growth sector for the next two years,Bain-IVCA India Private Equity Report 2015
IT & ITES,2015,CAGR 29% (2010-14),Bain-IVCA India Private Equity Report 2015
Energy,2015,"CAGR -18% (2010-14), declining sector",Bain-IVCA India Private Equity Report 2015
Engineering and construction,2015,CAGR -3% (2010-14),Bain-IVCA India Private Equity Report 2015
"Others (hotels/resorts, retail, shipping/logistics, textiles, education, telecom, media/entertainment, manufacturing, other services)",2015,"CAGR -10% (2010-14), aggregate 'Others' bucket declining",Bain-IVCA India Private Equity Report 2015
Retail,2023,Top-performing sector by M&A deal activity in 2023 alongside Fintech and IT,Deloitte Deal Dynamics (Aug 2024)
Fintech,2023,Top-performing M&A sector in 2023; inbound cross-border deals into Indian firms rose 35% in 2023 with fintech among key focus areas for global investors,Deloitte Deal Dynamics (Aug 2024)
IT / Technology,2023,Top-performing M&A sector in 2023; PE value held in the IT sector quadrupled from USD13bn (2013) to USD55bn (2023); Indian IT firms trading at a premium to global peers for the first time in five years,Deloitte Deal Dynamics (Aug 2024)
"E-commerce, Ed-tech, Content & Media, Health tech, B2C lending, Fintech payments",2023,High cash-burn sectors expected to see an M&A surge as well-funded start-ups consolidate smaller specialised players for technology/talent acquisition,Deloitte Deal Dynamics (Aug 2024)
Financial Services,2022,"Deal value increased ~2.5x driven by portfolio restructuring, cross-selling and fintech/digital capability investment; 2023 focus expected on Fintech expansion for credit growth and NPA control",Deloitte India M&A Trends 2023
TMT,2022,"Transitioned from PE-driven to strategic deals (PE share down from 75% to 40%); mergers up 47%, divestitures up 53%; top deals driven by tech asset acquisition in streaming, health tech, connectivity; 2023 PE activity expected to revive focused on AI, cloud, 5G/Industry 4.0",Deloitte India M&A Trends 2023
